Mes,TCMXN
ene-18,18.5905
feb-18,18.8305
mar-18,18.15
abr-18,18.7125
may-18,19.908
jun-18,19.909
jul-18,18.643
ago-18,19.08
sep-18,18.708
oct-18,20.3295
nov-18,20.396
dic-18,19.6403
ene-19,19.1058
feb-19,19.2775
mar-19,19.4215
abr-19,18.9402
may-19,19.612
jun-19,19.2162
jul-19,19.1265
ago-19,20.0575
sep-19,19.7275
oct-19,19.228
nov-19,19.562
dic-19,18.925
ene-20,18.8353
feb-20,19.611
mar-20,23.714
abr-20,24.151
may-20,22.1675
jun-20,22.9889
jul-20,22.2714
ago-20,21.8785
sep-20,22.099
oct-20,21.171
nov-20,20.166
dic-20,19.871
ene-21,20.5855
feb-21,20.848
mar-21,20.422
abr-21,20.226
may-21,19.9461
jun-21,19.931
jul-21,19.855
ago-21,20.063
sep-21,20.63
oct-21,20.545
nov-21,21.4368
dic-21,20.487
ene-22,20.625
feb-22,20.461
mar-22,19.845
abr-22,20.411
may-22,19.6525
jun-22,20.089
jul-22,20.35
ago-22,20.1348
sep-22,20.14
oct-22,19.794
nov-22,19.251
dic-22,19.474
ene-23,18.82
feb-23,18.301
mar-23,18.0099
abr-23,17.98
may-23,17.6819
jun-23,17.1135
jul-23,16.728
ago-23,17.027
sep-23,17.397
oct-23,18.037
nov-23,17.3784
dic-23,16.954
ene-24,17.212
feb-24,17.049
mar-24,16.531
abr-24,17.1355
may-24,16.993
jun-24,18.33
jul-24,18.6
ago-24,19.71
sep-24,19.678
oct-24,20.012
nov-24,20.361
dic-24,20.8197
ene-25,20.683
feb-25,20.5445
mar-25,20.4715
abr-25,19.6145
may-25,19.43
jun-25,18.747
jul-25,18.8779
ago-25,18.6555
sep-25,18.7304
