Fecha,MKT,Mkt-RF,SMB,HML,RF
2/1/2015,5.468188 ,6.130000 ,0.610000 ,-1.790000 ,0.000000 
3/1/2015,-2.028409 ,-1.110000 ,3.050000 ,-0.380000 ,0.000000 
4/1/2015,0.978580 ,0.590000 ,-2.990000 ,1.800000 ,0.000000 
5/1/2015,1.277424 ,1.370000 ,0.950000 ,-1.110000 ,0.000000 
6/1/2015,-2.537367 ,-1.520000 ,2.940000 ,-0.820000 ,0.000000 
7/1/2015,2.233790 ,1.570000 ,-4.170000 ,-4.160000 ,0.000000 
8/1/2015,-6.288668 ,-6.020000 ,0.370000 ,2.750000 ,0.000000 
9/1/2015,-3.103254 ,-3.060000 ,-2.630000 ,0.550000 ,0.000000 
10/1/2015,8.163506 ,7.750000 ,-1.900000 ,-0.470000 ,0.000000 
11/1/2015,0.364841 ,0.570000 ,3.580000 ,-0.430000 ,0.000000 
12/1/2015,-2.346736 ,-2.150000 ,-2.800000 ,-2.570000 ,0.010000 
1/1/2016,-5.116459 ,-5.740000 ,-3.400000 ,2.080000 ,0.010000 
2/1/2016,-0.103041 ,-0.060000 ,0.730000 ,-0.610000 ,0.020000 
3/1/2016,5.975581 ,6.950000 ,0.750000 ,1.220000 ,0.020000 
4/1/2016,0.383735 ,0.920000 ,0.770000 ,3.220000 ,0.010000 
5/1/2016,1.676463 ,1.780000 ,-0.180000 ,-1.620000 ,0.010000 
6/1/2016,-0.194094 ,-0.030000 ,0.600000 ,-1.490000 ,0.020000 
7/1/2016,3.564580 ,3.940000 ,2.450000 ,-1.240000 ,0.020000 
8/1/2016,0.099678 ,0.490000 ,1.170000 ,3.170000 ,0.020000 
9/1/2016,-0.518064 ,0.270000 ,2.080000 ,-1.190000 ,0.020000 
10/1/2016,-1.768908 ,-2.010000 ,-4.390000 ,4.110000 ,0.020000 
11/1/2016,3.607607 ,4.860000 ,5.600000 ,8.290000 ,0.010000 
12/1/2016,1.389230 ,1.810000 ,0.140000 ,3.470000 ,0.030000 
1/1/2017,1.733646 ,1.940000 ,-1.160000 ,-2.760000 ,0.040000 
2/1/2017,3.813925 ,3.550000 ,-2.150000 ,-1.500000 ,0.040000 
3/1/2017,-0.339185 ,0.170000 ,1.130000 ,-3.330000 ,0.030000 
4/1/2017,0.937725 ,1.080000 ,0.660000 ,-2.050000 ,0.050000 
5/1/2017,1.341424 ,1.070000 ,-2.520000 ,-3.820000 ,0.060000 
6/1/2017,0.088994 ,0.790000 ,2.210000 ,1.500000 ,0.060000 
7/1/2017,1.964579 ,1.880000 ,-1.450000 ,-0.230000 ,0.070000 
8/1/2017,0.201345 ,0.180000 ,-1.670000 ,-2.130000 ,0.090000 
9/1/2017,1.409868 ,2.490000 ,4.450000 ,3.150000 ,0.090000 
10/1/2017,2.239072 ,2.260000 ,-1.930000 ,0.130000 ,0.090000 
11/1/2017,2.930799 ,3.120000 ,-0.600000 ,-0.090000 ,0.080000 
12/1/2017,0.605662 ,1.060000 ,-1.320000 ,0.050000 ,0.090000 
1/1/2018,5.372822 ,5.580000 ,-3.160000 ,-1.320000 ,0.110000 
2/1/2018,-3.813793 ,-3.640000 ,0.270000 ,-1.100000 ,0.110000 
3/1/2018,-3.299026 ,-2.350000 ,4.050000 ,-0.210000 ,0.120000 
4/1/2018,0.375485 ,0.270000 ,1.090000 ,0.530000 ,0.140000 
5/1/2018,2.261834 ,2.660000 ,5.240000 ,-3.140000 ,0.140000 
6/1/2018,-0.014590 ,0.490000 ,1.110000 ,-2.330000 ,0.140000 
7/1/2018,3.477686 ,3.200000 ,-2.230000 ,0.490000 ,0.160000 
8/1/2018,2.982096 ,3.450000 ,1.140000 ,-3.910000 ,0.160000 
9/1/2018,-0.008871 ,0.060000 ,-2.290000 ,-1.620000 ,0.150000 
10/1/2018,-7.350803 ,-7.650000 ,-4.700000 ,3.380000 ,0.190000 
11/1/2018,1.657937 ,1.710000 ,-0.730000 ,0.360000 ,0.180000 
12/1/2018,-9.989108 ,-9.550000 ,-2.310000 ,-1.920000 ,0.190000 
1/1/2019,7.492180 ,8.370000 ,2.760000 ,-0.390000 ,0.210000 
2/1/2019,3.010150 ,3.420000 ,2.050000 ,-2.660000 ,0.180000 
3/1/2019,1.164358 ,1.100000 ,-3.030000 ,-4.140000 ,0.190000 
4/1/2019,3.794004 ,3.970000 ,-1.740000 ,2.130000 ,0.210000 
5/1/2019,-6.799536 ,-6.920000 ,-1.260000 ,-2.450000 ,0.210000 
6/1/2019,6.062017 ,6.920000 ,0.260000 ,-0.640000 ,0.180000 
7/1/2019,1.310629 ,1.230000 ,-1.960000 ,0.500000 ,0.190000 
8/1/2019,-1.848519 ,-2.550000 ,-2.390000 ,-4.770000 ,0.160000 
9/1/2019,1.286372 ,1.410000 ,-0.970000 ,6.760000 ,0.180000 
10/1/2019,2.036389 ,2.070000 ,0.270000 ,-1.920000 ,0.150000 
11/1/2019,3.435844 ,3.870000 ,0.720000 ,-2.000000 ,0.120000 
12/1/2019,2.233691 ,2.770000 ,0.760000 ,1.730000 ,0.140000 
1/1/2020,-0.170398 ,-0.110000 ,-3.100000 ,-6.220000 ,0.130000 
2/1/2020,-8.367524 ,-8.150000 ,1.080000 ,-3.820000 ,0.120000 
3/1/2020,-14.044732 ,-13.370000 ,-4.690000 ,-13.830000 ,0.120000 
4/1/2020,11.954460 ,13.600000 ,2.500000 ,-1.340000 ,0.000000 
5/1/2020,4.644505 ,5.570000 ,2.400000 ,-5.000000 ,0.010000 
6/1/2020,1.308815 ,2.450000 ,2.670000 ,-2.170000 ,0.010000 
7/1/2020,5.712327 ,5.830000 ,-2.350000 ,-1.440000 ,0.010000 
8/1/2020,6.736858 ,7.620000 ,-0.200000 ,-3.020000 ,0.010000 
9/1/2020,-4.225766 ,-3.640000 ,0.060000 ,-2.720000 ,0.010000 
10/1/2020,-2.534967 ,-2.080000 ,4.340000 ,4.250000 ,0.010000 
11/1/2020,10.315749 ,12.450000 ,5.810000 ,2.090000 ,0.010000 
12/1/2020,3.202495 ,4.630000 ,5.010000 ,-1.680000 ,0.010000 
1/1/2021,-1.024271 ,-0.070000 ,7.140000 ,3.220000 ,0.000000 
2/1/2021,2.742600 ,2.810000 ,2.020000 ,7.200000 ,0.000000 
3/1/2021,4.112902 ,3.160000 ,-2.330000 ,7.350000 ,0.000000 
4/1/2021,5.155819 ,4.950000 ,-3.190000 ,-1.020000 ,0.000000 
5/1/2021,0.654456 ,0.300000 ,-0.200000 ,7.040000 ,0.000000 
6/1/2021,1.891343 ,2.740000 ,1.700000 ,-7.860000 ,0.000000 
7/1/2021,2.411924 ,1.340000 ,-3.930000 ,-1.790000 ,0.000000 
8/1/2021,2.932564 ,2.940000 ,-0.320000 ,-0.230000 ,0.000000 
9/1/2021,-5.092505 ,-4.400000 ,0.660000 ,5.120000 ,0.000000 
10/1/2021,6.781152 ,6.630000 ,-2.270000 ,-0.530000 ,0.000000 
11/1/2021,-0.806729 ,-1.580000 ,-1.310000 ,-0.370000 ,0.000000 
12/1/2021,4.160316 ,3.230000 ,-1.630000 ,3.260000 ,0.010000 
1/1/2022,-5.418303 ,-6.160000 ,-5.930000 ,12.860000 ,0.000000 
2/1/2022,-2.996141 ,-2.280000 ,2.160000 ,3.060000 ,0.000000 
3/1/2022,3.379925 ,3.080000 ,-1.550000 ,-1.900000 ,0.000000 
4/1/2022,-9.186205 ,-9.410000 ,-1.350000 ,6.180000 ,0.000000 
5/1/2022,0.195474 ,-0.340000 ,-1.840000 ,8.440000 ,0.030000 
6/1/2022,-9.096999 ,-8.400000 ,2.070000 ,-6.000000 ,0.060000 
7/1/2022,8.729098 ,9.570000 ,2.840000 ,-4.150000 ,0.080000 
8/1/2022,-4.355772 ,-3.770000 ,1.410000 ,0.180000 ,0.190000 
9/1/2022,-10.300150 ,-9.340000 ,-0.760000 ,0.030000 ,0.190000 
10/1/2022,7.584141 ,7.850000 ,0.010000 ,7.970000 ,0.230000 
11/1/2022,5.120129 ,4.650000 ,-3.570000 ,1.480000 ,0.290000 
12/1/2022,-6.723692 ,-6.380000 ,-0.760000 ,1.340000 ,0.330000 
1/1/2023,5.748910 ,6.610000 ,5.010000 ,-3.940000 ,0.350000 
2/1/2023,-2.886417 ,-2.570000 ,1.050000 ,-0.800000 ,0.340000 
3/1/2023,2.899769 ,2.480000 ,-5.480000 ,-9.050000 ,0.360000 
4/1/2023,1.234873 ,0.620000 ,-3.370000 ,-0.120000 ,0.350000 
5/1/2023,0.100554 ,0.340000 ,1.600000 ,-7.790000 ,0.360000 
6/1/2023,5.507911 ,6.460000 ,1.490000 ,-0.130000 ,0.400000 
7/1/2023,2.770894 ,3.210000 ,2.050000 ,4.060000 ,0.450000 
8/1/2023,-2.088551 ,-2.360000 ,-3.140000 ,-1.150000 ,0.450000 
9/1/2023,-5.641755 ,-5.230000 ,-2.510000 ,1.490000 ,0.430000 
10/1/2023,-2.664772 ,-3.150000 ,-3.860000 ,0.200000 ,0.470000 
11/1/2023,8.300983 ,8.880000 ,-0.100000 ,1.670000 ,0.440000 
12/1/2023,3.629760 ,4.850000 ,6.300000 ,4.890000 ,0.430000 
1/1/2024,1.110095 ,0.730000 ,-5.070000 ,-2.380000 ,0.470000 
2/1/2024,4.667074 ,5.070000 ,-0.240000 ,-3.430000 ,0.420000 
3/1/2024,2.477638 ,2.840000 ,-2.500000 ,4.160000 ,0.430000 
4/1/2024,-4.585502 ,-4.650000 ,-2.370000 ,-0.450000 ,0.470000 
5/1/2024,4.494211 ,4.330000 ,0.550000 ,-1.310000 ,0.440000 
6/1/2024,2.735119 ,2.800000 ,-3.000000 ,-3.360000 ,0.410000 
7/1/2024,0.753635 ,1.220000 ,6.810000 ,5.620000 ,0.450000 
8/1/2024,1.829679 ,1.600000 ,-3.490000 ,-1.100000 ,0.480000 
9/1/2024,1.372448 ,1.720000 ,-0.130000 ,-2.770000 ,0.400000 
10/1/2024,-1.286365 ,-1.000000 ,-0.990000 ,0.860000 ,0.390000 
11/1/2024,5.392310 ,6.490000 ,4.460000 ,0.150000 ,0.400000 
12/1/2024,-3.141435 ,-3.170000 ,-2.710000 ,-3.000000 ,0.370000 
1/1/2025,2.280210 ,2.800000 ,-1.970000 ,1.630000 ,0.370000 
2/1/2025,-1.607609 ,-2.440000 ,-5.790000 ,4.910000 ,0.330000 
3/1/2025,-6.373540 ,-6.390000 ,-2.760000 ,2.900000 ,0.340000 
4/1/2025,-1.220796 ,-0.840000 ,-0.590000 ,-3.400000 ,0.350000 
5/1/2025,5.714916 ,6.060000 ,0.700000 ,-2.880000 ,0.380000 
6/1/2025,4.375761 ,4.860000 ,0.830000 ,-1.600000 ,0.340000 
7/1/2025,1.937026 ,1.980000 ,0.270000 ,-1.270000 ,0.340000 
8/1/2025,1.651186 ,1.850000 ,3.870000 ,4.410000 ,0.380000 
